top_n,trip_count,coverage_rate
10,163491,0.0029237429761479186
20,287116,0.005134554124322965
50,540015,0.009657198642521719
100,858009,0.015343950353363178
500,2365753,0.0423072445397659
1000,3599588,0.06437216808280782
5000,9247351,0.1653722684075847
