start_key,end_key,same_station,trip_count,duration_sum_min,duration_le_3m_count,duration_3_15m_count,duration_gt_15m_count,avg_duration_min,start_station,end_station
21ed84e8fe47fcb8,62e6f4993d600f2a,False,7074,173902.1940833333,0,2723,4351,24.5832900881161,"Serpentine Car Park, Hyde Park","Black Lion Gate, Kensington Gardens"
bf6e380fe667e869,730e382045666312,False,6974,63896.168216666665,0,6913,61,9.162054519166427,"Newgate Street , St. Paul's","Waterloo Station 3, Waterloo"
469f1e10096ea982,6bb35a21bb52f3ad,False,6845,133151.4376166667,0,3007,3838,19.452364881908938,"Storey's Gate, Westminster","Wellington Arch, Hyde Park"
f7142868e040f96c,62e6f4993d600f2a,False,6778,171205.77624999994,0,2195,4583,25.25904046178813,"Triangle Car Park, Hyde Park","Black Lion Gate, Kensington Gardens"
547d540ffa2b3746,80ca2bafd296fdb5,False,6750,35188.024983333315,455,6183,112,5.213040738271602,"Drayton Gardens, West Chelsea","Gloucester Road Station, South Kensington"
56c4ff241e50682f,41af53271dc35eca,False,6715,22735.20714999998,5654,956,105,3.385734497393891,"Barons Court Station, West Kensington","Charing Cross Hospital, Hammersmith"
730e382045666312,bf6e380fe667e869,False,6627,66584.61798333334,0,6422,205,10.047475174790002,"Waterloo Station 3, Waterloo","Newgate Street , St. Paul's"
f7142868e040f96c,690d03718d4188b6,False,6585,184926.9857666667,0,1892,4693,28.083065416350298,"Triangle Car Park, Hyde Park","Albert Gate, Hyde Park"
abda93ac57960863,8ba66342e7a9ec38,False,6497,163274.85523333336,0,2174,4323,25.130807331588944,"Podium, Queen Elizabeth Olympic Park","Lee Valley VeloPark, Queen Elizabeth Olympic Park"
4b83a8a9fbe10ce5,bb7a033b480ae907,False,6494,72202.53358333335,0,5992,502,11.118345177599839,"Exhibition Road, Knightsbridge","Southwick Street, Paddington"
a4b7aced360ef0e5,8ba66342e7a9ec38,False,6395,126663.87878333338,2102,1591,2702,19.80670504821476,"East Village, Queen Elizabeth Olympic Park","Lee Valley VeloPark, Queen Elizabeth Olympic Park"
e1200139364a3df3,fba0f003c0099586,False,6389,47413.036750000014,400,5619,370,7.42104190796682,"Regent's Row , Haggerston ","Dunston Road , Haggerston"
80ca2bafd296fdb5,547d540ffa2b3746,False,6383,36432.63503333334,280,5976,127,5.7077604626873475,"Gloucester Road Station, South Kensington","Drayton Gardens, West Chelsea"
97937fd2968a1732,c49052a00f008ed9,False,6349,35581.762699999985,40,6234,75,5.60430976531737,"South Park, Sands End","Parsons Green Station, Parsons Green"
4f94141e10596c6b,d42922e6a2ebfac7,False,6330,35381.99385000001,665,5460,205,5.589572488151661,"Riverlight South, Nine Elms","Vauxhall Cross, Vauxhall"
da70789dd37a2f9e,6c72d855f270f8f3,False,6284,47721.95708333334,0,6059,225,7.594200681625293,"Fulham Broadway, Walham Green","Stephendale Road, Sands End"
cf295e90e1c7217d,97937fd2968a1732,False,6280,28346.664433333335,1656,4516,108,4.513800069002124,"Parson's Green , Parson's Green","South Park, Sands End"
730e382045666312,37ac18565df65487,False,6265,91710.01964999999,0,4038,2227,14.638470814046286,"Waterloo Station 3, Waterloo","Wormwood Street, Liverpool Street"
3a948bee52527459,56c4ff241e50682f,False,6195,35045.82685000001,13,6128,54,5.657114907183214,"Rainville Road, Hammersmith","Barons Court Station, West Kensington"
6bb35a21bb52f3ad,62e6f4993d600f2a,False,6183,183004.81376666663,0,606,5577,29.598061421100862,"Wellington Arch, Hyde Park","Black Lion Gate, Kensington Gardens"
1e68e6618dcf321b,8ba66342e7a9ec38,False,6118,221141.44926666672,191,910,5017,36.14603616650322,"Timber Lodge, Queen Elizabeth Olympic Park","Lee Valley VeloPark, Queen Elizabeth Olympic Park"
41af53271dc35eca,56c4ff241e50682f,False,6102,20855.750266666666,4976,1041,85,3.417854845405878,"Charing Cross Hospital, Hammersmith","Barons Court Station, West Kensington"
8ba66342e7a9ec38,abda93ac57960863,False,6094,142663.01694999996,0,2426,3668,23.410406457170982,"Lee Valley VeloPark, Queen Elizabeth Olympic Park","Podium, Queen Elizabeth Olympic Park"
10ae8d279a4f87f8,22bc786fc97337c0,False,6089,29482.94128333334,503,5488,98,4.842000539223738,"Stainsby Road , Poplar","Westferry DLR, Limehouse"
21ed84e8fe47fcb8,79eabdda41197796,False,6064,161732.36700000003,0,1295,4769,26.670904848284966,"Serpentine Car Park, Hyde Park","Park Lane , Hyde Park"
e2d872fdcbcd523e,159f93995c29e618,False,6061,174718.15746666663,0,222,5839,28.826622251553644,"Westminster Pier, Westminster","Tower Gardens , Tower"
62e6f4993d600f2a,21ed84e8fe47fcb8,False,6056,158846.35736666675,0,1884,4172,26.229583448921193,"Black Lion Gate, Kensington Gardens","Serpentine Car Park, Hyde Park"
eecbf56aadb1806e,e6a0fca359674f8b,False,6016,178961.09749999997,0,1223,4793,29.74752285571808,"Hyde Park Corner, Hyde Park","Bayswater Road, Hyde Park"
21ed84e8fe47fcb8,690d03718d4188b6,False,6011,152303.14510000005,0,2188,3823,25.337405606388298,"Serpentine Car Park, Hyde Park","Albert Gate, Hyde Park"
c0ac250cc92ed0c8,7b8a6850975bbdb6,False,6008,29518.126933333344,743,5178,87,4.913136972924991,"Bath Street, St. Luke's","Eagle Wharf Road, Hoxton"
c1af53f88ed4b36d,bd658978b776e391,False,5991,27454.527883333332,1778,4095,118,4.582628590107383,"Nesham Street, Wapping","Reardon Street, Wapping"
66b713600494d704,892eeca8361c3362,False,5972,33034.18176666665,311,5494,167,5.531510677606605,"All Saints Church, Portobello","Notting Hill Gate Station, Notting Hill"
730e382045666312,36a03d6386266888,False,5956,63699.18449999999,0,5744,212,10.694960460040294,"Waterloo Station 3, Waterloo","Queen Street 1, Bank"
37ac18565df65487,2a825a3a386768af,False,5929,48311.15618333331,0,5614,315,8.14828068533198,"Wormwood Street, Liverpool Street","Duke Street Hill, London Bridge"
8ba66342e7a9ec38,a4b7aced360ef0e5,False,5862,134395.8271333333,1514,1679,2669,22.92661670647105,"Lee Valley VeloPark, Queen Elizabeth Olympic Park","East Village, Queen Elizabeth Olympic Park"
be485d48f6f50f96,2a825a3a386768af,False,5858,44636.446033333326,101,5389,368,7.619741555707294,"Curlew Street, Shad Thames","Duke Street Hill, London Bridge"
730e382045666312,72daf644f0c0ca28,False,5851,66315.00046666668,0,5448,403,11.333960086594887,"Waterloo Station 3, Waterloo","Cheapside, Bank"
da70789dd37a2f9e,8049df2ddd6ad598,False,5849,30136.73371666667,720,5007,122,5.152459175357611,"Fulham Broadway, Walham Green","Sandilands Road, Walham Green"
6bb35a21bb52f3ad,f7142868e040f96c,False,5845,144727.2113166666,0,1846,3999,24.760857368120888,"Wellington Arch, Hyde Park","Triangle Car Park, Hyde Park"
0dea6955394268aa,7437977a0ed3aa2a,False,5843,48808.737583333306,1,5567,275,8.353369430657763,"Jubilee Crescent, Cubitt Town","Upper Bank Street, Canary Wharf"
f59212b3e6d06949,da70789dd37a2f9e,False,5832,27956.5106,868,4851,113,4.79364036351166,"Imperial Road, Sands End","Fulham Broadway, Walham Green"
1ac5586c9af9eb75,c4bb28620a091c77,False,5751,21356.11886666667,3839,1837,75,3.7134618095403704,"Hibbert Street, Battersea","Grant Road East, Clapham Junction"
fba0f003c0099586,e1200139364a3df3,False,5751,49069.18386666666,663,4520,568,8.532287231206166,"Dunston Road , Haggerston","Regent's Row , Haggerston "
