station_key,canonical_name,outflow,inflow,net_inflow,throughput
677e7d73b2cba47c,"Windsor Terrace, Hoxton",67654.0,57836.0,-9818.0,125490.0
72daf644f0c0ca28,"Cheapside, Bank",167273.0,176990.0,9717.0,344263.0
8a0da7ef548b8799,"Houndsditch, Aldgate",69131.0,78729.0,9598.0,147860.0
5b85a5064656d271,"Gloucester Street, Pimlico",85777.0,76364.0,-9413.0,162141.0
cfa546e6d049ce76,"Endsleigh Gardens, Euston",93970.0,84566.0,-9404.0,178536.0
145f5f6dfc2f1b4a,"Snowsfields, London Bridge",94851.0,104240.0,9389.0,199091.0
e4d08ba016a7905b,"Elizabeth Bridge, Victoria",86383.0,95742.0,9359.0,182125.0
eecbf56aadb1806e,"Hyde Park Corner, Hyde Park",427766.0,418421.0,-9345.0,846187.0
a20995a497e4256e,"Tavistock Street, Covent Garden",90901.0,100218.0,9317.0,191119.0
cdde3adea8587e51,"Tooley Street, Bermondsey",215555.0,224703.0,9148.0,440258.0
bb7a033b480ae907,"Southwick Street, Paddington",71448.0,62359.0,-9089.0,133807.0
44c9627b654d652e,"East Road, Hoxton",58818.0,49966.0,-8852.0,108784.0
4e10633611f5fa70,"Greenberry Street, St.John's Wood",29563.0,20751.0,-8812.0,50314.0
44d760c6c2691f61,"Pitfield Street North,Hoxton",104498.0,95697.0,-8801.0,200195.0
a89129d2fbd09531,"Drummond Street , Euston",40727.0,31950.0,-8777.0,72677.0
6de509caf817f76b,"Tallis Street, Temple",58633.0,67404.0,8771.0,126037.0
e85bd76388176049,"Curzon Street, Mayfair",53416.0,62151.0,8735.0,115567.0
af58a130b51bd051,"Jubilee Gardens, South Bank",85529.0,94205.0,8676.0,179734.0
880dcd924da3ba3a,"Bunhill Row, Moorgate",104583.0,113221.0,8638.0,217804.0
2955d6512c4ae70f,"Lincoln's Inn Fields, Holborn",55517.0,64133.0,8616.0,119650.0
f11703f44672f75e,"Waterloo Station 1, Waterloo",243576.0,235055.0,-8521.0,478631.0
d40eef298e175503,"Cadogan Place, Knightsbridge",61930.0,70437.0,8507.0,132367.0
c6600cc2d09e5f38,"Chadwell Street, Angel",63512.0,55080.0,-8432.0,118592.0
01b22b7cce4006ce,"Warwick Row, Westminster",115779.0,124200.0,8421.0,239979.0
1d6fafeee9d5a1e2,"Grove End Road, St. John's Wood",64734.0,56326.0,-8408.0,121060.0
5263b5e7d033f851,"Charles II Street, West End",76612.0,84937.0,8325.0,161549.0
48b20b57ab3f9cc0,"Smith Square, Westminster",70177.0,78361.0,8184.0,148538.0
158f037cd07c0d0e,"Edgware Road Station, Marylebone",80206.0,72107.0,-8099.0,152313.0
af665304a3f3f6bb,"Ilchester Gardens, Bayswater",77025.0,68981.0,-8044.0,146006.0
1cbd402f0f47319c,"Fore Street, Guildhall",42361.0,50363.0,8002.0,92724.0
f6f3746163428d17,"Natural History Museum, South Kensington",73515.0,81376.0,7861.0,154891.0
7c79fe7a17af4e7c,"Golden Square, Soho",96813.0,104671.0,7858.0,201484.0
22bc786fc97337c0,"Westferry DLR, Limehouse",93529.0,101335.0,7806.0,194864.0
5d460f35d0d91f39,"Chepstow Villas, Notting Hill",59048.0,51293.0,-7755.0,110341.0
851dc006f9748b07,"Fore Street Avenue, Guildhall",43043.0,50733.0,7690.0,93776.0
d71cf8ec3cfc6635,"Wright's Lane, Kensington",104031.0,111712.0,7681.0,215743.0
35facc1bc92eec65,"Crosswall, Tower",139899.0,147539.0,7640.0,287438.0
a16e6b8d1252a1ab,"St. George's Square, Pimlico",90746.0,83164.0,-7582.0,173910.0
07c5220e19c4bc79,"Shoreditch Park, Hoxton",91562.0,84055.0,-7507.0,175617.0
b438d0a42374364d,"Alderney Street, Pimlico",103924.0,96441.0,-7483.0,200365.0
36671b9492d0f521,"The Guildhall, Guildhall",36991.0,44359.0,7368.0,81350.0
afea8c186113b0e2,"Ladbroke Grove Central, Ladbroke Grove",20502.0,13177.0,-7325.0,33679.0
a32201b909fd4887,"Belvedere Road 1, South Bank",78588.0,85909.0,7321.0,164497.0
4514f1c2d6f6731b,"Twig Folly Bridge, Mile End",82124.0,74837.0,-7287.0,156961.0
cc7724938ae61ad2,"Aberdeen Place, St. John's Wood",47046.0,39819.0,-7227.0,86865.0
bc90ee8d772637ee,"Jubilee Street, Stepney",55125.0,47920.0,-7205.0,103045.0
a9aec424fdbc2ef1,"De Vere Gardens, Kensington",83335.0,76213.0,-7122.0,159548.0
da6e17f3ce2cd07d,"Whiston Road, Haggerston",50744.0,43672.0,-7072.0,94416.0
e6c717b9bafe16df,"Thurtle Road, Haggerston",36685.0,29625.0,-7060.0,66310.0
a371161a87bdfbc6,"Finsbury Square , Moorgate",66454.0,73472.0,7018.0,139926.0
af07712c8afa2672,"Hereford Road, Bayswater",72044.0,65078.0,-6966.0,137122.0
e2d872fdcbcd523e,"Westminster Pier, Westminster",216035.0,222960.0,6925.0,438995.0
82199f2f63bf71c7,"Princes Square, Bayswater",42211.0,35343.0,-6868.0,77554.0
42ab9ea432d807a7,"Cleveland Gardens, Bayswater",49499.0,42637.0,-6862.0,92136.0
7c17330b8199fd17,"Queensway, Kensington Gardens",132147.0,125315.0,-6832.0,257462.0
0690a4371039d89b,"Mallory Street, Marylebone",34764.0,27984.0,-6780.0,62748.0
3917bfafac17bd05,"Risinghill Street, Angel",29631.0,22872.0,-6759.0,52503.0
9711ae957ea82bd6,"Buckingham Gate, Westminster",85436.0,92192.0,6756.0,177628.0
4085be9e7d31f3e8,"Sackville Street, Mayfair",78192.0,84922.0,6730.0,163114.0
4875590a96fe8357,"Monument Street, Monument",108430.0,115128.0,6698.0,223558.0
227f5b2cc98e449e,"Hinde Street, Marylebone",99922.0,106599.0,6677.0,206521.0
3f8e6371be724785,"Hertford Road, De Beauvoir Town",74057.0,67391.0,-6666.0,141448.0
3d7b86cbbb543733,"Bancroft Road, Bethnal Green",56846.0,50202.0,-6644.0,107048.0
ef851cbc456ef051,"Panton Street, West End",128588.0,135167.0,6579.0,263755.0
e40a583c6d2577d7,"South Wharf Road, Paddington",93452.0,86885.0,-6567.0,180337.0
3b83368107f06aa6,"Royal College Street, Camden Town",60448.0,53893.0,-6555.0,114341.0
a4f285380e7648ab,"Belvedere Road 2, South Bank",54718.0,61256.0,6538.0,115974.0
b7d4d16aa051b5ae,"Jubilee Plaza, Canary Wharf",93003.0,99527.0,6524.0,192530.0
